id;frequency;memory;consumption;clock_speed;lithography;output;input_power;bus;height;width;length;name;price;discount;stock;img;jhi_desc;brand;is_active
11;28654;80307;11389;53167;12034;Small feed;tan client-driven;PCI_EXPRESS_2;12;13;17;Steel21;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;false
12;91029;40009;82786;33501;64819;withdrawal withdrawal Configurable;maximize Enhanced Stagiaire;PCI_EXPRESS_3;12;13;17;Steel22;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;false
13;10443;63742;50813;26238;8127;Chips;Ergonomic;PCI_EXPRESS_1;12;13;17;Steel23;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;false
14;9311;23353;99185;9422;58539;Superviseur;Hat leading-edge;PCI_EXPRESS_3;12;13;17;Steel24;031485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;false
15;86352;94030;87576;62929;38292;Fresh Bhutanese;Coordinateur B2C;PCI_EXPRESS_1;12;13;17;Steel25;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;false
16;76559;14904;5369;27241;62189;Games Unbranded a;deposit b;PCI_EXPRESS_1;12;13;17;Steel26;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;false
17;97;91197;12989;81487;35026;empower;content-based visualize;PCI_EXPRESS_4;12;13;17;Steel27;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;false
18;84298;56610;22256;38908;762;indexing magenta;withdrawal Incredible;AGP;12;13;17;Steel28;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;false
19;75375;38987;40300;48600;56307;Front-line;Awesome Lorraine;AGP;12;13;17;Steel29;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;false
20;20342;87376;89304;48699;22250;Decentralized Table transmitter;lavender a Manat;PCI_EXPRESS_3;12;13;17;Steel30;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;false
