id;capacity;speed_write;speed_read;type;name;price;discount;stock;img;jhi_desc;brand;is_active
21;1000;20;20;HDD;WD Blue;49;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/21_WD_BLUE.jpg;Disque dur Western Digital;Western Digital;true
22;1000;60;60;HDD;Barracuda;59;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/22_BARRACUDA.jpg;Disque dur Seagate;Seagate;true
23;3000;60;60;HDD;WD Purple;100;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/23_WD_PURPLE.jpg;Disque dur Western Digital;Western Digital;true
24;500;530;560;SSD;Ultra 3d;100;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/24_ULTRA_3D.jpg;Disque dur Sandisk;Sandisk;true
25;500;520;550;M2;860 evo;89;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/25_860_EVO.jpg;Disque dur Samsung;Samsung;true
26;1000;20;20;HDD;WD Blue_B;49;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/21_WD_BLUE.jpg;Disque dur Western Digital;Western Digital;true
27;1000;60;60;HDD;Barracuda_B;59;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/22_BARRACUDA.jpg;Disque dur Seagate;Seagate;true
28;3000;60;60;HDD;WD Purple_B;100;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/23_WD_PURPLE.jpg;Disque dur Western Digital;Western Digital;true
29;500;530;560;SSD;Ultra 3d_B;100;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/24_ULTRA_3D.jpg;Disque dur Sandisk;Sandisk;true
30;500;520;550;M2;860 evo_B;89;1;100;https://monmegabucketconfigme.s3.eu-central-1.amazonaws.com/25_860_EVO.jpg;Disque dur Samsung;Samsung;true
