id;name;price;discount;stock;img;jhi_desc;brand;is_active
1;Steel;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;false
2;withdrawal infomediaries partnerships;94707;1;46442;transmitting Niger Bedfordshire;Malagasy intranet;neutral;false
3;Business-focused;16911;0;56622;b throughput Vaneau;distributed indigo JSON;Personal Steel;false
4;intangible la;14557;1;86573;Manager;Shoes;Ball pixel;false
5;optical Cheese;99001;1;57905;Solférino project hacking;Alsace mobile;AGP lavender;true
6;sticky Francs-Bourgeois Automotive;41021;1;4460;system-worthy;Steel;full-range;true
7;Chair solution Zimbabwe;788;0;67875;Account transmit Incredible;programming Algérie Rustic;Taka;true
8;optical e-business;1542;0;54007;and multi-byte Frozen;a;Administrateur CFA;false
9;Ball project bypassing;46693;0;71391;Technicien;convergence moratorium Stand-alone;transmit;true
10;global;93026;0;33901;Phased;Brunei sky;Specialiste generating;true
