id;range_fan_speed;noise;has_thermal_paste;height;width;length;name;price;discount;stock;img;jhi_desc;brand;is_active
61;connect Coordinateur;50224;true;12;13;17;Steel71;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;true
62;defect Berkshire Concrete;73390;true;12;13;17;Steel72;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;true
63;copying Gorgeous Rubber;66748;true;12;13;17;Steel73;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;true
64;leverage Incredible Handmade;60733;true;12;13;17;Steel74;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;true
65;channels;65367;true;12;13;17;Steel75;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;true
66;invoice Havre purple;10408;true;12;13;17;Steel76;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;true
67;deliver connecting system;43039;true;12;13;17;Steel77;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;true
68;THX dynamic;91031;true;12;13;17;Steel78;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;true
69;alarm Delesseux Account;42568;true;12;13;17;Steel79;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;true
70;Books SDD;86220;true;12;13;17;Steel80;31485;1;82284;de support navigate;Chilean reboot b;Saussaies actuating deposit;true
